[dotenv@17.2.3] injecting env (6) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
==============================================
DATABASE CONNECTION: D:\Z-ON DOOR 2024\zon app\server\database.sqlite
==============================================
Database connected and schema updated.
>>> SERVER RESTART: Stock Logic v2 is ACTIVE <<<
Server is running on port 5000
[2026-06-15T20:11:28.063Z] POST /api/auth/dealer-login from 127.0.0.1
[2026-06-15T20:11:41.292Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:11:45.516Z] POST /api/auth/dealer-login from 127.0.0.1
[2026-06-15T20:11:45.594Z] POST /api/orders from 127.0.0.1
[WhatsApp NOT SENT] To: +91 | Msg: 🛎️ *New Order — Z-ON DOOR*
Dealer: SHUBHAM VALSAD
Order #3965 | 1 item(s)

Logi...
[2026-06-15T20:12:11.766Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:14.719Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:14.726Z] GET /api/orders/analytics from 127.0.0.1
[2026-06-15T20:12:14.742Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:14.747Z] GET /api/orders/analytics from 127.0.0.1
[2026-06-15T20:12:19.722Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:24.717Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:29.728Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:34.717Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:39.717Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:44.721Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:49.723Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:54.727Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:12:59.729Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:04.732Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:09.717Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:11.946Z] GET /api/sheets from 127.0.0.1
[2026-06-15T20:13:11.974Z] GET /api/sheets from 127.0.0.1
[2026-06-15T20:13:13.070Z] GET /api/reports/sales-monthly from 127.0.0.1
[2026-06-15T20:13:13.188Z] GET /api/reports/sales-monthly from 127.0.0.1
[2026-06-15T20:13:14.713Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:15.754Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:13:15.755Z] GET /api/orders/settings/lead-time from 127.0.0.1
[2026-06-15T20:13:16.283Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:13:18.446Z] GET /api/users?role=DEALER from 127.0.0.1
[2026-06-15T20:13:18.447Z] GET /api/users?role=DISTRIBUTOR from 127.0.0.1
[2026-06-15T20:13:19.718Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:24.716Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:29.710Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:34.709Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:39.716Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:44.713Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:49.719Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:13:58.217Z] POST /api/auth/dealer-login from 127.0.0.1
[2026-06-15T20:14:11.423Z] POST /api/auth/dealer-login from 127.0.0.1
[2026-06-15T20:14:11.533Z] GET /api/doors from 127.0.0.1
[2026-06-15T20:14:11.539Z] GET /api/designs from 127.0.0.1
[2026-06-15T20:14:11.555Z] GET /api/colors from 127.0.0.1
[2026-06-15T20:14:11.562Z] GET /api/doors from 127.0.0.1
[2026-06-15T20:14:11.567Z] GET /api/designs from 127.0.0.1
[2026-06-15T20:14:11.583Z] GET /api/colors from 127.0.0.1
[2026-06-15T20:16:41.470Z] POST /api/orders from 127.0.0.1
[WhatsApp NOT SENT] To: +91 | Msg: 🛎️ *New Order — Z-ON DOOR*
Dealer: BALKRISHNA SAHILSHBHAI
Order #3966 | 2 item(...
[2026-06-15T20:16:59.210Z] GET /api/doors from 127.0.0.1
[2026-06-15T20:16:59.215Z] GET /api/designs from 127.0.0.1
[2026-06-15T20:16:59.229Z] GET /api/colors from 127.0.0.1
[2026-06-15T20:16:59.237Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:04.218Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:09.215Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:14.979Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:19.987Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:24.971Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:25.816Z] POST /api/auth/login from 127.0.0.1
[2026-06-15T20:17:25.961Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:25.962Z] GET /api/orders/analytics from 127.0.0.1
[2026-06-15T20:17:25.966Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:25.983Z] GET /api/orders/analytics from 127.0.0.1
[2026-06-15T20:17:29.785Z] GET /api/orders? from 127.0.0.1
[2026-06-15T20:17:29.786Z] GET /api/users?role=DISTRIBUTOR from 127.0.0.1
[2026-06-15T20:17:29.787Z] GET /api/workers/production-tracking from 127.0.0.1
[2026-06-15T20:17:29.788Z] GET /api/workers/stats from 127.0.0.1
[2026-06-15T20:17:29.797Z] GET /api/workers/analytics/performance from 127.0.0.1
[2026-06-15T20:17:29.897Z] GET /api/workers/analytics/materials from 127.0.0.1
[2026-06-15T20:17:30.483Z] GET /api/workers from 127.0.0.1
[2026-06-15T20:17:30.503Z] GET /api/workers/settings/location from 127.0.0.1
[2026-06-15T20:17:30.522Z] GET /api/workers/production-tracking from 127.0.0.1
[2026-06-15T20:17:30.534Z] GET /api/workers/analytics/materials from 127.0.0.1
[2026-06-15T20:17:30.570Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:30.573Z] GET /api/workers/analytics/performance from 127.0.0.1
[2026-06-15T20:17:31.113Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:31.132Z] GET /api/workers/stats from 127.0.0.1
[2026-06-15T20:17:34.787Z] GET /api/workers/stats from 127.0.0.1
[2026-06-15T20:17:34.788Z] GET /api/workers/production-tracking from 127.0.0.1
[2026-06-15T20:17:34.978Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:35.960Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:39.785Z] GET /api/workers/stats from 127.0.0.1
[2026-06-15T20:17:39.786Z] GET /api/workers/production-tracking from 127.0.0.1
[2026-06-15T20:17:39.912Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:39.913Z] GET /api/orders/settings/lead-time from 127.0.0.1
[2026-06-15T20:17:40.416Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:40.417Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:42.503Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:44.917Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:45.414Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:46.110Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:49.910Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:50.378Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:50.380Z] POST /api/orders/settings/lead-time from 127.0.0.1
[2026-06-15T20:17:51.084Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:54.206Z] GET /api/orders from 127.0.0.1
